Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2020-03-28,1,6000,6105.03,689.87,27,0.982796153335856,0.995146833613373,0.9935,3e-4,0,6105.03,1,7477.6,1477.6000000000004,1.1418528128487981,0.98,-0.017203846664143985,0
2020-03-28,1,6000,6119.21,697.59,27,0.980518727090589,0.995094501283976,0.9919,3e-4,0,6119.21,1,7477.6,1477.6000000000004,1.1181496294384958,0.98,-0.01948127290941104,0
2020-03-28,1,6000,6112.98,690.77,27,0.981518015763179,0.994964867878725,0.9885,3e-4,0,9169.47,1.5,7477.6,1477.6000000000004,1.139062205944092,0.98,-0.018481984236821014,0
2020-03-28,1,6000,6124.07,698.14,27,0.979740597347842,0.995033704951284,0.9902,3e-4,0,12248.14,2,7477.6,1477.6000000000004,1.1164809350560065,0.97,-0.020259402652157976,0
2020-03-28,1,6000,6149.1,713.3,27,0.975752549153535,0.995082137037236,0.9912,3e-4,0,6149.1,1,7477.6,1477.6000000000004,1.0714986681620644,0.97,-0.024247450846464957,0
2020-03-28,1,6000,6264.07,808.07,27,0.957843702257478,0.995917825630237,1.0144,3e-4,0,125907.807,20.1,7477.6,1477.6000000000004,0.8285544569158616,0.95,-0.04215629774252205,0
2020-03-28,1,6000,6259.02,807.41,27,0.958616524631651,0.99604836933425,1.0187,3e-4,0,62590.2,10,7477.6,1477.6000000000004,0.8300491695668872,0.95,-0.041383475368348965,0
2020-03-28,1,6000,6259.32,810.58,27,0.958570579551772,0.996168164395138,1.0227,3e-4,0,62593.2,10,7477.6,1477.6000000000004,0.822892249993832,0.95,-0.04142942044822795,0
2020-03-28,1,6000,6259.39,810.59,27,0.958559859666837,0.996165236188955,1.0226,3e-4,0,625.939,0.1,7477.6,1477.6000000000004,0.8228697615317242,0.95,-0.04144014033316301,0
2020-03-28,1,6000,6218.44,755.54,27,0.96487221875583,0.995135038831328,0.9918,3e-4,0,3109.22,0.5,7477.6,1477.6000000000004,0.955687322974297,0.96,-0.03512778124417004,0
2020-03-28,1,6000,6066.24,679.42,27,0.989080550720051,0.995708241827371,1.0102,3e-4,0,6066.24,1,7477.6,1477.6000000000004,1.1747961496570611,0.98,-0.010919449279949034,0
2020-03-28,1,6000,6243.5,771.07,27,0.960999439416994,0.995247167323211,0.9946,3e-4,0,3121.75,0.5,7477.6,1477.6000000000004,0.9162981311683767,0.96,-0.03900056058300605,0
